Series ID,Year,Period,Label,Value
PRS84006113,2018,Q01,2018 Qtr1,108.380
PRS84006113,2018,Q02,2018 Qtr2,108.407
PRS84006113,2018,Q03,2018 Qtr3,109.437
PRS84006113,2018,Q04,2018 Qtr4,109.688
PRS84006113,2019,Q01,2019 Qtr1,111.163
PRS84006113,2019,Q02,2019 Qtr2,110.967
PRS84006113,2019,Q03,2019 Qtr3,110.819
PRS84006113,2019,Q04,2019 Qtr4,111.332
PRS84006113,2020,Q01,2020 Qtr1,113.832
PRS84006113,2020,Q02,2020 Qtr2,117.169
PRS84006113,2020,Q03,2020 Qtr3,114.203
PRS84006113,2020,Q04,2020 Qtr4,115.875
